atom_id,molecule_id,element,atype,charge
varchar,varchar,varchar,integer,float
primary key,foreign key [molecule.molecule_id],,,
d100_1,d100,c,22,-0.128
d100_10,d100,h,3,0.132
d100_11,d100,c,29,0.002
d100_12,d100,c,22,-0.128
d100_13,d100,c,22,-0.128
d100_14,d100,c,22,-0.128
d100_15,d100,c,22,0.202
d100_16,d100,c,22,-0.128
d100_17,d100,h,3,0.132
d100_18,d100,h,3,0.132
d100_19,d100,h,3,0.132
d100_2,d100,c,22,-0.128
d100_20,d100,h,3,0.132
d100_21,d100,n,32,-0.779
d100_22,d100,n,38,0.801
d100_23,d100,o,40,-0.398
d100_24,d100,o,40,-0.398
d100_25,d100,h,1,0.332
d100_26,d100,h,1,0.332
d100_3,d100,c,22,-0.128
d100_4,d100,c,29,0.002
d100_5,d100,c,22,-0.128
d100_6,d100,c,22,-0.128
d100_7,d100,h,3,0.132
d100_8,d100,h,3,0.132
d100_9,d100,h,3,0.132
d101_1,d101,c,22,-0.121
d101_10,d101,c,27,-0.091
d101_11,d101,c,27,0.009
d101_12,d101,c,22,0.009
d101_13,d101,c,22,0.009
d101_14,d101,c,22,-0.121
d101_15,d101,c,22,-0.121
d101_16,d101,c,22,-0.122
d101_17,d101,c,10,-0.091
d101_18,d101,c,10,-0.091
d101_19,d101,c,10,-0.091
d101_2,d101,c,22,-0.121
d101_20,d101,c,10,-0.091
d101_21,d101,n,38,0.808
d101_22,d101,o,40,-0.392
d101_23,d101,o,40,-0.392
d101_24,d101,h,3,0.138
d101_25,d101,h,3,0.138
d101_26,d101,h,3,0.138
d101_27,d101,h,3,0.138
d101_28,d101,h,3,0.138
d101_29,d101,h,3,0.138
d101_3,d101,c,27,0.009
d101_30,d101,h,3,0.138
d101_31,d101,h,3,0.059
d101_32,d101,h,3,0.059
d101_33,d101,h,3,0.059
d101_34,d101,h,3,0.059
d101_35,d101,h,3,0.059
d101_36,d101,h,3,0.059
d101_37,d101,h,3,0.059
d101_38,d101,h,3,0.059
d101_4,d101,c,27,-0.091
d101_5,d101,c,27,0.009
d101_6,d101,c,22,-0.122
d101_7,d101,c,22,-0.121
d101_8,d101,c,22,-0.121
d101_9,d101,c,27,0.009
d102_1,d102,c,22,-0.119
d102_10,d102,c,22,-0.119
d102_11,d102,c,22,-0.119
d102_12,d102,c,22,-0.119
d102_13,d102,c,22,-0.119
d102_14,d102,c,29,0.011
d102_15,d102,h,3,0.141
d102_16,d102,h,3,0.141
d102_17,d102,c,14,0.56
d102_18,d102,o,40,-0.54
d102_19,d102,n,38,0.81
d102_2,d102,c,22,-0.119
d102_20,d102,n,38,0.81
d102_21,d102,n,38,0.81
d102_22,d102,n,38,0.81
d102_23,d102,o,40,-0.39
d102_24,d102,o,40,-0.389
d102_25,d102,o,40,-0.389
d102_26,d102,o,40,-0.389
d102_27,d102,o,40,-0.389
d102_28,d102,o,40,-0.39
d102_29,d102,o,40,-0.39
d102_3,d102,c,22,0.111
d102_30,d102,o,40,-0.39
d102_4,d102,c,29,0.011
d102_5,d102,c,22,-0.119
d102_6,d102,c,22,-0.119
d102_7,d102,h,3,0.141
d102_8,d102,h,3,0.141
d102_9,d102,c,22,0.111
d103_1,d103,c,22,-0.118
d103_10,d103,c,22,-0.118
d103_11,d103,c,22,-0.118
d103_12,d103,c,27,0.012
d103_13,d103,c,27,-0.088
d103_14,d103,h,3,0.141
d103_15,d103,h,3,0.142
d103_16,d103,c,27,0.012
d103_17,d103,c,22,-0.118
d103_18,d103,c,22,-0.118
d103_19,d103,h,3,0.141
d103_2,d103,c,22,-0.118
d103_20,d103,h,3,0.142
d103_21,d103,c,22,-0.118
d103_22,d103,c,22,-0.118
d103_23,d103,c,22,-0.118
d103_24,d103,h,3,0.142
d103_25,d103,h,3,0.142
d103_26,d103,n,38,0.811
d103_27,d103,o,40,-0.389
d103_28,d103,o,40,-0.389
d103_3,d103,c,27,0.012
d103_4,d103,c,27,-0.088
d103_5,d103,c,27,0.012
d103_6,d103,c,22,-0.118
d103_7,d103,h,3,0.141
d103_8,d103,h,3,0.142
d103_9,d103,h,3,0.142
d104_1,d104,c,22,-0.121
d104_10,d104,c,27,-0.091
d104_11,d104,c,27,0.009
d104_12,d104,c,22,0.009
d104_13,d104,c,22,0.009
d104_14,d104,c,22,-0.121
d104_15,d104,c,22,-0.121
d104_16,d104,c,22,-0.122
d104_17,d104,c,10,-0.091
d104_18,d104,c,10,-0.091
d104_19,d104,c,10,-0.091
d104_2,d104,c,22,-0.121
d104_20,d104,c,10,-0.091
d104_21,d104,n,38,0.808
d104_22,d104,o,40,-0.392
d104_23,d104,o,40,-0.392
d104_24,d104,h,3,0.138
d104_25,d104,h,3,0.138
d104_26,d104,h,3,0.138
d104_27,d104,h,3,0.138
d104_28,d104,h,3,0.138
d104_29,d104,h,3,0.138
d104_3,d104,c,27,0.009
d104_30,d104,h,3,0.138
d104_31,d104,h,3,0.059
d104_32,d104,h,3,0.059
d104_33,d104,h,3,0.059
d104_34,d104,h,3,0.059
d104_35,d104,h,3,0.059
d104_36,d104,h,3,0.059
d104_37,d104,h,3,0.059
d104_38,d104,h,3,0.059
d104_4,d104,c,27,-0.091
d104_5,d104,c,27,0.009
d104_6,d104,c,22,-0.122
d104_7,d104,c,22,-0.121
d104_8,d104,c,22,-0.121
d104_9,d104,c,27,0.009
d105_1,d105,c,22,-0.084
d105_10,d105,c,27,-0.054
d105_11,d105,c,27,0.435
d105_12,d105,n,35,-0.725
d105_13,d105,c,22,-0.084
d105_14,d105,h,3,0.176
d105_15,d105,c,22,-0.084
d105_16,d105,c,22,-0.084
d105_17,d105,c,22,0.296
d105_18,d105,n,35,-0.725
d105_19,d105,h,3,0.176
d105_2,d105,c,22,-0.084
d105_20,d105,h,3,0.176
d105_21,d105,h,3,0.176
d105_22,d105,n,38,0.845
d105_23,d105,o,40,-0.354
d105_24,d105,o,40,-0.354
d105_3,d105,c,22,-0.084
d105_4,d105,c,27,-0.054
d105_5,d105,c,27,0.046
d105_6,d105,c,22,-0.084
d105_7,d105,h,3,0.176
d105_8,d105,h,3,0.176
d105_9,d105,h,3,0.176
d106_1,d106,c,22,-0.119
d106_10,d106,c,22,-0.119
d106_11,d106,c,22,-0.119
d106_12,d106,c,27,0.011
d106_13,d106,c,27,-0.089
d106_14,d106,h,3,0.141
d106_15,d106,h,3,0.142
d106_16,d106,c,27,0.011
d106_17,d106,c,22,0.262
d106_18,d106,c,22,-0.119
d106_19,d106,h,3,0.141
d106_2,d106,c,22,-0.119
d106_20,d106,c,22,-0.119
d106_21,d106,c,22,-0.119
d106_22,d106,c,22,-0.119
d106_23,d106,h,3,0.142
d106_24,d106,h,3,0.142
d106_25,d106,n,38,0.812
d106_26,d106,o,45,-0.638
d106_27,d106,o,40,-0.388
d106_28,d106,o,40,-0.388
d106_29,d106,h,8,0.412
d106_3,d106,c,27,0.011
d106_4,d106,c,27,-0.089
d106_5,d106,c,27,0.011
d106_6,d106,c,22,-0.119
d106_7,d106,h,3,0.141
d106_8,d106,h,3,0.142
d106_9,d106,h,3,0.142
d107_1,d107,c,22,-0.115
d107_10,d107,c,22,-0.115
d107_11,d107,c,22,-0.115
d107_12,d107,c,29,0.015
d107_13,d107,h,3,0.145
d107_14,d107,c,28,0.015
d107_15,d107,c,28,0.015
d107_16,d107,c,22,-0.115
d107_17,d107,c,22,-0.115
d107_18,d107,c,22,-0.115
d107_19,d107,c,22,-0.115
d107_2,d107,c,22,-0.115
d107_20,d107,h,3,0.146
d107_21,d107,h,3,0.145
d107_22,d107,h,3,0.145
d107_23,d107,h,3,0.145
d107_24,d107,n,38,0.816
d107_25,d107,n,38,0.816
d107_26,d107,n,38,0.816
d107_27,d107,o,40,-0.384
d107_28,d107,o,40,-0.384
d107_29,d107,o,40,-0.384
d107_3,d107,c,27,0.015
d107_30,d107,o,40,-0.384
d107_31,d107,o,40,-0.384
d107_32,d107,o,40,-0.384
d107_4,d107,c,27,-0.085
d107_5,d107,c,28,0.015
d107_6,d107,c,22,-0.115
d107_7,d107,h,3,0.145
d107_8,d107,h,3,0.145
d107_9,d107,c,22,-0.115
d108_1,d108,c,22,-0.122
d108_10,d108,c,22,-0.122
d108_11,d108,c,22,-0.122
d108_12,d108,c,29,0.008
d108_13,d108,h,3,0.138
d108_14,d108,c,28,0.008
d108_15,d108,c,28,0.008
d108_16,d108,c,22,-0.122
d108_17,d108,c,22,-0.122
d108_18,d108,c,22,-0.122
d108_19,d108,c,22,-0.122
d108_2,d108,c,22,-0.122
d108_20,d108,h,3,0.138
d108_21,d108,h,3,0.138
d108_22,d108,h,3,0.138
d108_23,d108,h,3,0.138
d108_24,d108,n,38,0.809
d108_25,d108,o,40,-0.391
d108_26,d108,o,40,-0.391
d108_27,d108,h,3,0.138
d108_28,d108,h,3,0.139
d108_3,d108,c,27,0.008
d108_4,d108,c,27,-0.092
d108_5,d108,c,28,0.008
d108_6,d108,c,22,-0.122
d108_7,d108,h,3,0.139
d108_8,d108,h,3,0.139
d108_9,d108,c,22,-0.122
d109_1,d109,c,22,-0.113
d109_10,d109,c,27,-0.083
d109_11,d109,c,27,0.017
d109_12,d109,c,22,-0.113
d109_13,d109,c,22,-0.113
d109_14,d109,c,27,0.017
d109_15,d109,c,27,0.017
d109_16,d109,c,22,-0.113
d109_17,d109,c,22,-0.113
d109_18,d109,c,22,-0.113
d109_19,d109,c,22,-0.113
d109_2,d109,c,22,-0.113
d109_20,d109,c,22,-0.113
d109_21,d109,c,22,-0.113
d109_22,d109,c,22,-0.113
d109_23,d109,n,38,0.818
d109_24,d109,n,38,0.818
d109_25,d109,o,40,-0.382
d109_26,d109,o,40,-0.382
d109_27,d109,o,40,-0.382
d109_28,d109,o,40,-0.382
d109_29,d109,h,3,0.148
d109_3,d109,c,22,-0.113
d109_30,d109,h,3,0.148
d109_31,d109,h,3,0.148
d109_32,d109,h,3,0.147
d109_33,d109,h,3,0.147
d109_34,d109,h,3,0.148
d109_35,d109,h,3,0.148
d109_36,d109,h,3,0.148
d109_37,d109,h,3,0.148
d109_38,d109,h,3,0.148
d109_4,d109,c,29,0.017
d109_5,d109,c,27,-0.083
d109_6,d109,c,27,0.017
d109_7,d109,c,29,0.017
d109_8,d109,c,27,-0.083
d109_9,d109,c,27,-0.083
d10_1,d10,c,22,-0.119
d10_10,d10,c,22,-0.119
d10_11,d10,c,22,-0.118
d10_12,d10,c,29,0.011
d10_13,d10,c,10,0.011
d10_14,d10,n,38,0.812
d10_15,d10,o,40,-0.388
d10_16,d10,o,40,-0.388
d10_17,d10,c,10,0.011
d10_18,d10,h,3,0.142
d10_19,d10,h,3,0.142
d10_2,d10,c,22,-0.119
d10_20,d10,h,3,0.142
d10_21,d10,h,3,0.142
d10_22,d10,h,3,0.142
d10_23,d10,h,3,0.142
d10_24,d10,h,3,0.061
d10_25,d10,h,3,0.061
d10_26,d10,h,3,0.061
d10_27,d10,h,3,0.061
d10_28,d10,h,3,0.061
d10_3,d10,c,22,-0.119
d10_4,d10,c,29,0.011
d10_5,d10,c,22,-0.119
d10_6,d10,c,22,-0.118
d10_7,d10,c,22,-0.119
d10_8,d10,c,22,-0.119
d10_9,d10,c,22,-0.168
d110_1,d110,c,22,-0.113
d110_10,d110,c,29,0.017
d110_11,d110,c,22,-0.113
d110_12,d110,c,22,-0.113
d110_13,d110,c,22,-0.113
d110_14,d110,c,22,-0.113
d110_15,d110,c,22,-0.113
d110_16,d110,h,3,0.147
d110_17,d110,h,3,0.147
d110_18,d110,h,3,0.147
d110_19,d110,n,38,0.818
d110_2,d110,c,22,-0.113
d110_20,d110,n,38,0.818
d110_21,d110,n,38,0.818
d110_22,d110,n,38,0.818
d110_23,d110,o,40,-0.382
d110_24,d110,o,40,-0.382
d110_25,d110,o,40,-0.382
d110_26,d110,o,40,-0.383
d110_27,d110,o,40,-0.383
d110_28,d110,o,40,-0.382
d110_29,d110,o,40,-0.382
d110_3,d110,c,22,-0.113
d110_30,d110,o,40,-0.382
d110_4,d110,c,29,0.017
d110_5,d110,c,22,-0.113
d110_6,d110,c,22,-0.113
d110_7,d110,h,3,0.147
d110_8,d110,h,3,0.147
d110_9,d110,h,3,0.147
d111_1,d111,c,22,-0.122
d111_10,d111,c,14,0.238
d111_11,d111,o,41,-0.421
d111_12,d111,h,3,0.208
d111_13,d111,h,3,0.138
d111_14,d111,n,38,0.809
d111_15,d111,o,40,-0.392
d111_16,d111,o,40,-0.392
d111_2,d111,c,22,-0.122
d111_3,d111,c,22,-0.122
d111_4,d111,c,22,-0.122
d111_5,d111,c,22,0.008
d111_6,d111,c,22,-0.122
d111_7,d111,h,3,0.138
d111_8,d111,h,3,0.138
d111_9,d111,h,3,0.138
d112_1,d112,c,22,-0.125
d112_10,d112,c,22,-0.125
d112_11,d112,c,22,-0.124
d112_12,d112,c,22,-0.125
d112_13,d112,c,22,0.005
d112_14,d112,h,3,0.136
d112_15,d112,h,3,0.136
d112_16,d112,c,10,-0.095
d112_17,d112,c,10,-0.095
d112_18,d112,h,3,0.055
d112_19,d112,h,3,0.055
d112_2,d112,c,22,-0.125
d112_20,d112,h,3,0.055
d112_21,d112,h,3,0.055
d112_22,d112,n,38,0.806
d112_23,d112,o,40,-0.394
d112_24,d112,o,40,-0.394
d112_3,d112,c,27,0.005
d112_4,d112,c,27,0.005
d112_5,d112,c,22,0.005
d112_6,d112,c,22,-0.124
d112_7,d112,h,3,0.136
d112_8,d112,h,3,0.136
d112_9,d112,h,3,0.136
d113_1,d113,c,22,-0.12
d113_10,d113,n,32,-0.77
d113_11,d113,n,38,0.81
d113_12,d113,n,38,0.81
d113_13,d113,o,40,-0.39
d113_14,d113,o,40,-0.39
d113_15,d113,o,40,-0.39
d113_16,d113,o,40,-0.39
d113_17,d113,h,1,0.34
d113_18,d113,h,1,0.34
d113_2,d113,c,22,-0.12
d113_3,d113,c,22,-0.12
d113_4,d113,c,22,-0.12
d113_5,d113,c,22,0.21
d113_6,d113,c,22,-0.12
