molecule_id,ind1,inda,logp,lumo,mutagenic
varchar,integer,integer,float,float,varchar
primary key,,,,,
d1,1,0,4.23,-1.246,yes
d10,1,0,4.62,-1.387,yes
d100,0,0,2.68,-1.034,no
d101,1,0,6.26,-1.598,yes
d102,1,0,2.4,-3.172,yes
d103,1,0,4.69,-1.487,yes
d104,1,0,6.26,-1.546,yes
d105,1,0,1.84,-1.749,yes
d106,1,0,4.34,-1.607,yes
d107,1,0,4.18,-2.791,yes
d108,1,0,4.69,-1.676,yes
d109,1,0,6.07,-2.284,yes
d11,1,0,4.23,-1.254,yes
d110,0,0,3,-2.14,no
d111,0,0,1.56,-1.687,no
d112,1,0,3.81,-1.208,yes
d113,0,0,1.84,-1.491,no
d114,0,0,2.68,-1.148,no
d115,0,0,2.74,-1.161,yes
d116,0,0,1.8,-1.37,no
d117,0,0,3.26,-2.142,yes
d118,1,0,6.57,-1.8,yes
d119,0,0,3.26,-1.995,no
d12,1,0,3.63,-1.627,yes
d120,0,0,1.77,-0.937,no
d121,1,0,4.18,-2.68,yes
d122,1,0,5.41,-1.61,yes
d123,0,0,4.49,-1.056,no
d124,0,0,1.89,-1.596,no
d125,1,0,4.99,-1.256,yes
d126,1,0,2.29,-2.718,yes
d127,0,0,3.26,-2.196,yes
d128,1,0,3.36,-2.149,yes
d129,0,0,1.46,-1.592,no
d13,1,0,4.44,-2.292,yes
d130,0,0,1.73,-0.93,no
d131,0,0,2.83,-1.538,no
d132,0,0,1.74,-1.499,no
d133,1,0,7.13,-1.492,no
d134,1,0,4.73,-1.951,yes
d135,0,0,2.74,-1.562,no
d136,1,0,4.66,-1.685,yes
d137,1,0,4.44,-2.263,yes
d138,0,0,1.77,-1.157,no
d139,0,0,2.72,-1.019,no
d14,0,0,1.77,-1.289,no
d140,0,0,2.52,-1.751,yes
d141,0,0,3.05,-1.228,no
d142,1,0,6.68,-1.474,no
d143,0,0,2.35,-1.046,no
d144,0,0,2.9,-1.288,no
d145,0,0,2.68,-1.178,yes
d146,0,0,2.68,-1.102,yes
d147,0,0,1.94,-0.937,no
d148,1,0,3.36,-2.158,yes
d149,1,0,2.29,-2.87,yes
d15,1,0,4.69,-1.698,yes
d150,0,0,-0.02,-0.995,no
d151,0,0,1.75,-1.411,yes
d152,1,0,4.44,-2.191,yes
d153,1,0,3.85,-1.151,yes
d154,0,0,1.59,-1.362,no
d155,0,0,1.72,-1.737,no
d156,0,0,1.92,-0.854,no
d157,1,0,4.19,-1.623,yes
d158,1,0,3.08,-1.34,yes
d159,1,0,4.19,-1.742,yes
d16,1,0,4.44,-2.172,yes
d160,0,0,2.78,-1.691,no
d161,1,0,5.61,-2.221,yes
d162,0,0,3,-2.687,yes
d163,1,0,4.44,-1.974,yes
d164,1,0,4.44,-2.306,yes
d165,1,0,4.69,-1.522,yes
d166,1,0,4.42,-1.709,yes
d167,1,0,4.44,-2.31,yes
d168,0,0,2.03,-1.112,no
d169,0,0,1.49,-2.17,yes
d17,0,0,0.87,-0.529,no
d170,1,0,2.52,-2.113,yes
d171,0,0,3,-2.508,yes
d172,0,0,2.06,-1.487,yes
d173,0,0,3.26,-2.328,yes
d174,1,0,4.44,-2.209,yes
d175,1,0,7.84,-1.616,no
d176,0,0,2.74,-1.304,yes
d177,1,0,2.29,-2.614,yes
d178,0,0,1.77,-1.213,yes
d179,0,0,2.73,-1.889,no
d18,1,0,3.06,-1.861,yes
d180,1,0,6.07,-2.182,yes
d181,0,0,0.53,-0.727,no
d182,0,0,1.99,-1.366,no
d183,1,0,4.44,-2.294,yes
d184,1,0,4.44,-2.074,yes
d185,0,0,1.89,-2.09,no
d186,0,0,2.07,-0.574,no
d187,1,0,5.41,-1.276,yes
d188,1,0,3.51,-0.872,no
d19,0,0,1.84,-1.478,no
d2,0,0,1.44,-1.429,no
d20,1,0,3.4,-1.764,yes
d21,0,0,3.52,-1.665,yes
d22,1,0,5.09,-1.602,yes
d23,1,1,5.07,-2.164,yes
d24,1,0,6.79,-1.728,yes
d25,1,0,3.43,-1.398,yes
d26,0,0,2.17,-2.072,yes
d27,1,0,5.87,-1.801,yes
d28,1,0,4.11,-1.558,yes
d29,1,0,2.42,-2.837,yes
d3,0,0,1.86,-1.456,no
d30,1,1,5.07,-2.005,yes
d31,1,0,4.44,-2.055,yes
d32,0,0,3,-2.562,yes
d33,1,0,4.23,-1.591,yes
