id,drug_id,element,atom_type,charge
integer,integer,varchar(2),integer,float
primary key,foreign key[drugs.id],,,
0,0,c,22,-0.11
1,0,c,22,-0.11
2,0,c,22,-0.11
3,0,c,22,-0.11
4,0,h,3,0.15
5,0,h,3,0.15
6,0,n,38,0.82
7,0,n,38,0.82
8,0,n,38,0.82
9,0,n,38,0.82
10,0,o,40,-0.38
11,0,c,22,-0.11
12,0,o,40,-0.38
13,0,o,40,-0.38
14,0,o,40,-0.38
15,0,o,40,-0.38
16,0,o,40,-0.38
17,0,o,40,-0.38
18,0,o,40,-0.38
19,0,c,27,0.02
20,0,c,27,0.02
21,0,c,22,-0.11
22,0,c,22,-0.11
23,0,h,3,0.15
24,0,h,3,0.15
25,0,c,22,-0.11
26,1,c,22,-0.138
27,1,n,38,0.793
28,1,o,40,-0.407
29,1,o,40,-0.407
30,1,h,1,0.292
31,1,h,3,0.122
32,1,h,3,0.122
33,1,h,3,0.092
34,1,h,3,0.122
35,1,h,3,0.092
36,1,c,22,-0.138
37,1,c,26,-0.048
38,1,c,26,0.092
39,1,c,22,-0.138
40,1,c,22,-0.138
41,1,n,34,-0.367
42,1,c,21,0.162
43,1,c,21,-0.108
44,2,c,22,-0.133
45,2,c,22,-0.133
46,2,c,26,0.098
47,2,c,26,0.098
48,2,c,22,-0.133
49,2,c,22,-0.133
50,2,c,22,-0.132
51,2,c,26,0.098
52,2,c,21,-0.102
53,2,c,21,-0.002
54,2,h,3,0.128
55,2,c,22,-0.133
56,2,h,3,0.128
57,2,h,3,0.128
58,2,h,3,0.128
59,2,h,3,0.128
60,2,h,3,0.098
61,2,h,3,0.128
62,2,h,3,0.128
63,2,h,3,0.098
64,2,n,38,0.797
65,2,o,40,-0.403
66,2,c,27,-0.002
67,2,o,40,-0.403
68,2,c,27,-0.102
69,2,c,27,-0.002
70,2,c,22,-0.133
71,2,c,27,-0.102
72,2,c,27,-0.002
73,2,c,22,-0.133
74,3,c,22,-0.113
75,3,h,3,0.146
76,3,c,22,-0.113
77,3,c,22,-0.113
78,3,c,195,-0.083
79,3,c,195,-0.083
80,3,h,3,0.146
81,3,c,27,-0.083
82,3,c,27,0.017
83,3,c,22,-0.113
84,3,c,22,-0.113
85,3,c,22,-0.113
86,3,h,3,0.146
87,3,h,3,0.146
88,3,c,22,-0.113
89,3,c,22,-0.113
90,3,c,22,-0.113
91,3,c,22,-0.113
92,3,h,3,0.146
93,3,h,3,0.146
94,3,h,3,0.146
95,3,h,3,0.146
96,3,c,27,0.017
97,3,n,38,0.816
98,3,o,40,-0.384
99,3,o,40,-0.384
100,3,c,27,-0.083
101,3,c,22,-0.113
102,3,c,22,-0.113
103,3,h,3,0.146
104,3,h,3,0.146
105,3,h,3,0.146
106,4,c,22,-0.113
107,4,h,3,0.146
108,4,c,22,-0.113
109,4,c,22,-0.113
110,4,c,195,-0.083
111,4,c,195,-0.083
112,4,h,3,0.146
113,4,c,27,-0.083
