id,drug_id,atom1_id,atom2_id,bond_type
integer,integer,integer,integer,integer
primary key,foreign key[drugs.id],foreign key[atoms.id],foreign key[atoms.id],
0,0,0,11,7
1,0,11,19,7
2,0,19,20,7
3,0,20,21,7
4,0,21,22,7
5,0,22,0,7
6,0,11,23,1
7,0,22,24,1
8,0,19,25,7
9,0,25,1,7
10,0,1,2,7
11,0,2,3,7
12,0,3,20,7
13,0,25,4,1
14,0,2,5,1
15,0,3,6,1
16,0,1,7,1
17,0,21,8,1
18,0,0,9,1
19,0,8,10,2
20,0,8,12,2
21,0,6,13,2
22,0,6,14,2
23,0,7,15,2
24,0,7,16,2
25,0,9,17,2
26,0,9,18,2
27,1,26,36,7
28,1,36,37,7
29,1,37,38,7
30,1,38,39,7
31,1,39,40,7
32,1,40,26,7
33,1,37,41,7
34,1,41,42,7
35,1,38,43,7
36,1,43,42,7
37,1,40,27,1
38,1,27,28,2
39,1,27,29,2
40,1,41,30,1
41,1,26,31,1
42,1,36,32,1
43,1,39,33,1
44,1,42,34,1
45,1,43,35,1
46,2,44,55,7
47,2,55,66,7
48,2,66,68,7
49,2,68,69,7
50,2,69,70,7
51,2,70,44,7
52,2,68,71,7
53,2,71,72,7
54,2,72,73,7
55,2,73,45,7
56,2,45,69,7
57,2,71,46,7
58,2,46,47,7
59,2,47,48,7
60,2,48,49,7
61,2,49,72,7
62,2,66,50,7
63,2,50,51,7
64,2,51,46,7
65,2,47,52,7
66,2,51,53,7
67,2,53,52,7
68,2,44,54,1
69,2,55,56,1
70,2,70,57,1
71,2,73,58,1
72,2,45,59,1
73,2,48,60,1
74,2,49,61,1
75,2,50,62,1
76,2,52,63,1
77,2,53,64,1
78,2,64,65,2
79,2,64,67,2
80,3,74,85,7
81,3,85,96,7
82,3,96,100,7
83,3,100,101,7
84,3,101,102,7
85,3,102,74,7
86,3,74,103,1
87,3,85,104,1
88,3,101,105,1
89,3,102,75,1
90,3,96,76,7
91,3,76,77,7
92,3,77,78,7
93,3,78,79,7
94,3,79,100,7
95,3,76,80,1
96,3,78,81,7
97,3,81,82,7
98,3,82,83,7
99,3,83,84,7
100,3,84,79,7
101,3,83,86,1
102,3,84,87,1
103,3,81,88,7
104,3,88,89,7
105,3,89,90,7
106,3,90,91,7
107,3,91,82,7
108,3,88,92,1
109,3,89,93,1
110,3,90,94,1
111,3,91,95,1
112,3,77,97,1
113,3,97,98,2
114,3,97,99,2
115,4,106,117,7
116,4,117,128,7
117,4,128,132,7
118,4,132,133,7
119,4,133,134,7
120,4,134,106,7
121,4,106,135,1
122,4,117,136,1
123,4,133,137,1
124,4,134,107,1
125,4,128,108,7
126,4,108,109,7
127,4,109,110,7
128,4,110,111,7
129,4,111,132,7
130,4,108,112,1
131,4,110,113,7
132,4,113,114,7
133,4,114,115,7
134,4,115,116,7
135,4,116,111,7
136,4,115,118,1
137,4,116,119,1
138,4,113,120,7
139,4,120,121,7
140,4,121,122,7
141,4,122,123,7
142,4,123,114,7
143,4,120,124,1
144,4,121,125,1
145,4,123,126,1
146,4,109,127,1
147,4,122,129,1
148,4,129,130,2
149,4,129,131,2
150,5,138,148,7
151,5,148,149,7
152,5,149,150,7
153,5,150,151,7
154,5,151,152,7
155,5,152,138,7
156,5,138,153,1
157,5,149,154,1
158,5,152,155,1
159,5,151,139,1
160,5,148,140,1
161,5,139,141,1
162,5,139,142,1
163,5,140,143,2
164,5,140,144,2
165,5,150,145,1
166,5,145,146,1
167,5,145,147,1
168,6,156,162,7
169,6,162,163,7
170,6,163,164,7
171,6,164,165,7
172,6,165,166,7
173,6,166,156,7
174,6,156,167,1
175,6,166,168,1
176,6,165,169,1
177,6,164,157,1
178,6,163,158,1
179,6,162,159,1
180,6,159,160,2
181,6,159,161,2
182,7,170,181,7
183,7,181,187,7
184,7,187,188,7
185,7,188,189,7
186,7,189,190,7
187,7,190,170,7
188,7,170,191,1
189,7,181,192,1
190,7,189,193,1
191,7,190,171,1
192,7,172,173,7
193,7,173,174,7
194,7,174,175,7
195,7,175,176,7
196,7,176,177,7
197,7,177,172,7
198,7,173,178,1
199,7,174,179,1
200,7,188,177,1
201,7,187,180,1
202,7,180,172,1
203,7,180,182,1
204,7,175,183,1
205,7,176,184,1
206,7,184,185,2
207,7,184,186,2
208,8,194,205,7
209,8,205,207,7
210,8,207,208,7
211,8,208,209,7
212,8,209,210,7
213,8,210,194,7
214,8,207,211,7
215,8,211,212,7
216,8,208,213,7
217,8,213,212,7
218,8,211,195,1
219,8,212,196,1
220,8,196,197,2
221,8,196,198,2
222,8,194,199,1
223,8,205,200,1
224,8,209,201,1
225,8,210,202,1
226,8,195,203,1
